Cell_population,Cell2_population,relativeChi,relativeb,Chi,b
1.3223e+11,1.3213e+11,0.42,0.1,315,30
7.0759e+10,7.073e+10,0.42,1,315,30
1.2582e+10,1.2581e+10,0.42,10,315,30
3.3458e+10,3.3451e+10,0.42,3.1623,315,30
1.0939e+11,1.0932e+11,0.42,0.31623,315,30
1.3218e+11,1.3298e+11,5.62,0.1,315,30
7.0631e+10,7.0868e+10,5.62,1,315,30
1.2574e+10,1.2582e+10,5.62,10,315,30
3.3413e+10,3.3468e+10,5.62,3.1623,315,30
1.0926e+11,1.0981e+11,5.62,0.31623,315,30
1.3223e+11,1.3223e+11,1,0.1,315,30
7.0745e+10,7.0745e+10,1,1,315,30
1.2581e+10,1.2581e+10,1,10,315,30
3.3453e+10,3.3453e+10,1,3.1623,315,30
1.0938e+11,1.0938e+11,1,0.31623,315,30
1.3224e+11,1.3209e+11,0.18,0.1,315,30
7.0765e+10,7.0723e+10,0.18,1,315,30
1.2582e+10,1.258e+10,0.18,10,315,30
3.346e+10,3.3451e+10,0.18,3.1623,315,30
1.094e+11,1.093e+11,0.18,0.31623,315,30
1.3221e+11,1.3245e+11,2.37,0.1,315,30
7.0711e+10,7.0781e+10,2.37,1,315,30
1.2579e+10,1.2581e+10,2.37,10,315,30
3.3441e+10,3.3457e+10,2.37,3.1623,315,30
1.0934e+11,1.0951e+11,2.37,0.31623,315,30
