Cell_population,Cell2_population,relativecR,relativeb,cR,b
1.4133e+11,9.8335e+08,0.67,0.1,2.25e-14,30
1.4145e+11,7.4051e+08,0.67,1,2.25e-14,30
1.4243e+11,4.5867e+08,0.67,10,2.25e-14,30
1.4182e+11,5.6826e+08,0.67,3.1623,2.25e-14,30
1.4134e+11,8.9839e+08,0.67,0.31623,2.25e-14,30
1.3223e+11,1.3223e+11,1,0.1,2.25e-14,30
7.0745e+10,7.0745e+10,1,1,2.25e-14,30
1.2581e+10,1.2581e+10,1,10,2.25e-14,30
3.3453e+10,3.3453e+10,1,3.1623,2.25e-14,30
1.0938e+11,1.0938e+11,1,0.31623,2.25e-14,30
9.1833e+08,2.586e+12,1.5,0.1,2.25e-14,30
4.2597e+08,1.7704e+11,1.5,1,2.25e-14,30
1.3492e+08,1.7233e+10,1.5,10,2.25e-14,30
2.4632e+08,5.4738e+10,1.5,3.1623,2.25e-14,30
6.2865e+08,6.0592e+11,1.5,0.31623,2.25e-14,30
6.5392e+08,3.201e+12,2.25,0.1,2.25e-14,30
3.9705e+08,2.2023e+11,2.25,1,2.25e-14,30
1.3228e+08,2.1424e+10,2.25,10,2.25e-14,30
2.3648e+08,6.8094e+10,2.25,3.1623,2.25e-14,30
5.5523e+08,7.5277e+11,2.25,0.31623,2.25e-14,30
1.4133e+11,6.658e+08,0.44,0.1,2.25e-14,30
1.4153e+11,4.2575e+08,0.44,1,2.25e-14,30
1.4447e+11,1.3921e+08,0.44,10,2.25e-14,30
1.4223e+11,2.5121e+08,0.44,3.1623,2.25e-14,30
1.4136e+11,5.8294e+08,0.44,0.31623,2.25e-14,30
