Dilution,OD600 (on Trav lab spec)
0.50000000000000000000,0.863
0.25000000000000000000,0.407
0.12500000000000000000,0.207
0.06250000000000000000,0.103
0.03125000000000000000,0.051
0.01562500000000000000,0.025
0.00781250000000000000,0.012
0.00390625000000000000,0.006
0.00195312500000000000,0.003
0.00097656250000000000,0.002
0.00000000000000000000,0
