"vars_manip_1","vars_manip_2","vars_manip","distrib","phage_disp","Cell_population","Cell2_population","relativecA","relativeI","cA","irate","relativeR","relativeChi","Chi","relativecR","cR","relativeY","Y","relativeb","b","Cell2_Cell1"
"I","Chi","I_vs_Chi","global","0",4.4317e+11,4.5109e+11,NA,1,NA,1e-14,1,5.62,315,NA,NA,NA,NA,NA,NA,1.01787124579732
"I","Chi","I_vs_Chi","global","0",4.4701e+11,4.4701e+11,NA,1,NA,1e-14,1,1,315,NA,NA,NA,NA,NA,NA,1
"I","Chi","I_vs_Chi","global","0",4.4769e+11,4.4629e+11,NA,1,NA,1e-14,1,0.18,315,NA,NA,NA,NA,NA,NA,0.996872836114275
"I","Chi","I_vs_Chi","global","0",4.4587e+11,4.4822e+11,NA,1,NA,1e-14,1,2.37,315,NA,NA,NA,NA,NA,NA,1.00527059456792
"I","Chi","I_vs_Chi","global","0",7.6667e+11,1.6627e+12,NA,0.1,NA,1e-14,10,0.42,315,NA,NA,NA,NA,NA,NA,2.16872970117521
"I","Chi","I_vs_Chi","global","0",7.6181e+11,1.721e+12,NA,0.1,NA,1e-14,10,5.62,315,NA,NA,NA,NA,NA,NA,2.25909347475092
"I","Chi","I_vs_Chi","global","0",7.6614e+11,1.6691e+12,NA,0.1,NA,1e-14,10,1,315,NA,NA,NA,NA,NA,NA,2.17858354869867
"I","Chi","I_vs_Chi","global","0",7.6689e+11,1.66e+12,NA,0.1,NA,1e-14,10,0.18,315,NA,NA,NA,NA,NA,NA,2.16458683774726
"I","Chi","I_vs_Chi","global","0",7.6487e+11,1.6843e+12,NA,0.1,NA,1e-14,10,2.37,315,NA,NA,NA,NA,NA,NA,2.2020735549832
"I","Chi","I_vs_Chi","global","0",8.6577e+11,1.3709e+13,NA,0.01,NA,1e-14,100,0.42,315,NA,NA,NA,NA,NA,NA,15.8344594984811
"I","Chi","I_vs_Chi","global","0",8.6009e+11,1.4561e+13,NA,0.01,NA,1e-14,100,5.62,315,NA,NA,NA,NA,NA,NA,16.9296236440373
"I","Chi","I_vs_Chi","global","0",8.6519e+11,1.3797e+13,NA,0.01,NA,1e-14,100,1,315,NA,NA,NA,NA,NA,NA,15.9467862550422
"I","Chi","I_vs_Chi","global","0",8.6601e+11,1.3673e+13,NA,0.01,NA,1e-14,100,0.18,315,NA,NA,NA,NA,NA,NA,15.788501287514
"I","Chi","I_vs_Chi","global","0",8.6378e+11,1.4011e+13,NA,0.01,NA,1e-14,100,2.37,315,NA,NA,NA,NA,NA,NA,16.2205654217509
"I","cR","I_vs_cR","global","0",8.4262e+11,5.02e+08,NA,100,NA,1e-14,0.01,NA,NA,0.67,2.25e-14,NA,NA,NA,NA,0.000595760841185825
"I","cR","I_vs_cR","global","0",1.6007e+11,6732600000,NA,100,NA,1e-14,0.01,NA,NA,1,2.25e-14,NA,NA,NA,NA,0.0420603485974886
"I","cR","I_vs_cR","global","0",7.1877e+10,8991100000,NA,100,NA,1e-14,0.01,NA,NA,1.5,2.25e-14,NA,NA,NA,NA,0.125090084449824
"I","cR","I_vs_cR","global","0",4.1879e+10,1.1325e+10,NA,100,NA,1e-14,0.01,NA,NA,2.25,2.25e-14,NA,NA,NA,NA,0.270421929845507
"I","cR","I_vs_cR","global","0",9.0318e+11,60908000,NA,100,NA,1e-14,0.01,NA,NA,0.44,2.25e-14,NA,NA,NA,NA,6.74372771761996e-05
"I","cR","I_vs_cR","global","0",8.8508e+11,1206200000,NA,10,NA,1e-14,0.1,NA,NA,0.67,2.25e-14,NA,NA,NA,NA,0.00136281466082162
"I","cR","I_vs_cR","global","0",1.6682e+11,6.7529e+10,NA,10,NA,1e-14,0.1,NA,NA,1,2.25e-14,NA,NA,NA,NA,0.404801582544059
"I","cR","I_vs_cR","global","0",145040000,1.0102e+11,NA,10,NA,1e-14,0.1,NA,NA,1.5,2.25e-14,NA,NA,NA,NA,696.497517926089
