Cell_population,Cell2_population,relativecA,relativeb,cA,b
8.3673e+11,8.3673e+11,0.44,0.1,4.17e-16,30
4.47e+11,4.47e+11,0.44,1,4.17e-16,30
7.9012e+10,7.9012e+10,0.44,10,4.17e-16,30
2.1093e+11,2.1093e+11,0.44,3.1623,4.17e-16,30
6.9182e+11,6.9182e+11,0.44,0.31623,4.17e-16,30
8.3675e+11,8.3675e+11,0.67,0.1,4.17e-16,30
4.47e+11,4.47e+11,0.67,1,4.17e-16,30
7.9013e+10,7.9013e+10,0.67,10,4.17e-16,30
2.1093e+11,2.1093e+11,0.67,3.1623,4.17e-16,30
6.9183e+11,6.9183e+11,0.67,0.31623,4.17e-16,30
8.3678e+11,8.3678e+11,1,0.1,4.17e-16,30
4.4701e+11,4.4701e+11,1,1,4.17e-16,30
7.9013e+10,7.9013e+10,1,10,4.17e-16,30
2.1093e+11,2.1093e+11,1,3.1623,4.17e-16,30
6.9185e+11,6.9185e+11,1,0.31623,4.17e-16,30
8.3682e+11,8.3682e+11,1.5,0.1,4.17e-16,30
4.4702e+11,4.4702e+11,1.5,1,4.17e-16,30
7.9013e+10,7.9013e+10,1.5,10,4.17e-16,30
2.1094e+11,2.1094e+11,1.5,3.1623,4.17e-16,30
6.9188e+11,6.9188e+11,1.5,0.31623,4.17e-16,30
8.3688e+11,8.3688e+11,2.25,0.1,4.17e-16,30
4.4704e+11,4.4704e+11,2.25,1,4.17e-16,30
7.9014e+10,7.9014e+10,2.25,10,4.17e-16,30
2.1094e+11,2.1094e+11,2.25,3.1623,4.17e-16,30
6.9193e+11,6.9193e+11,2.25,0.31623,4.17e-16,30
