,1,2,3,4,5,6,7,8,9,10,11,12
A,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
B,H2O,Orig,Orig,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,H2O
C,H2O,Orig,Orig,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,H2O
D,H2O,Orig,Orig,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,H2O
E,H2O,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,Rich,Rich,H2O
F,H2O,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,Rich,Rich,H2O
G,H2O,Orig,Orig,Orig,Orig,Rich,Rich,Rich,Rich,Rich,Rich,H2O
H,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
