Cell_population,Cell2_population,relativeI,relativeb,irate,b
1.4252e+11,2.38e+09,100,0.1,1e-14,30
1.3748e+11,7.823e+08,100,1,1e-14,30
1.3354e+11,1.6829e+08,100,10,1e-14,30
1.3463e+11,3.7157e+08,100,3.1623,1e-14,30
1.4042e+11,1.4601e+09,100,0.31623,1e-14,30
1.3924e+11,1.5003e+10,10,0.1,1e-14,30
1.129e+11,6.6435e+09,10,1,1e-14,30
7.854e+10,1.2447e+09,10,10,1e-14,30
9.4124e+10,3.1195e+09,10,3.1623,1e-14,30
1.2924e+11,1.1218e+10,10,0.31623,1e-14,30
1.3435e+11,1.3435e+11,1,0.1,1e-14,30
7.1899e+10,7.1899e+10,1,1,1e-14,30
1.2789e+10,1.2789e+10,1,10,1e-14,30
3.4005e+10,3.4005e+10,1,3.1623,1e-14,30
1.1114e+11,1.1114e+11,1,0.31623,1e-14,30
1.3109e+11,1.0386e+13,0.1,0.1,1e-14,30
7.2608e+10,1.0901e+12,0.1,1,1e-14,30
1.3909e+10,1.3355e+11,0.1,10,1e-14,30
3.6622e+10,3.93e+11,0.1,3.1623,1e-14,30
1.0762e+11,3.0185e+12,0.1,0.31623,1e-14,30
1.3632e+11,1.9452e+14,0.01,0.1,1e-14,30
9.7959e+10,1.3481e+13,0.01,1,1e-14,30
2.9002e+10,1.3694e+12,0.01,10,1e-14,30
6.2484e+10,4.2711e+12,0.01,3.1623,1e-14,30
1.2212e+11,4.5342e+13,0.01,0.31623,1e-14,30
