 ,1,2,3,4,5,6,7,8,9,10,11,12
A,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
B,H2O,50-74-L-1,50-74-L-2,50-75B-L-1,50-75B-L-2,50-76B-C-1,50-76B-C-2,100-74-C-1,100-74-C-2,100-76A-G-1,100-76A-G-2,H2O
C,H2O,50-74-G-1,50-74-G-2,50-75B-C-1,50-75B-C-2,50-A-1,50-A-2,100-75A-L-1,100-75A-L-2,100-76A-C-1,100-76A-C-2,H2O
D,H2O,50-74-C-1,50-74-C-2,50-76A-G-1,50-76A-G-2,H2O,H2O,100-75A-G-1,100-75A-G-2,100-76B-L-1,100-76B-L-2,H2O
E,H2O,50-75A-L-1,50-75A-L-2,50-76A-C-1,50-76A-C-2,H2O,H2O,100-75A-C-1,100-75A-C-2,100-76B-G-1,100-76B-G-2,H2O
F,H2O,50-75A-G-1,50-75A-G-2,50-76B-L-1,50-76B-L-2,100-74-L-1,100-74-L-2,100-75B-L-1,100-75B-L-2,100-76B-C-1,100-76B-C-2,H2O
G,H2O,50-75A-C-1,50-75A-C-2,50-76B-G-1,50-76B-G-2,100-74-G-1,100-74-G-2,100-75B-C-1,100-75B-C-2,100-A-1,100-A-2,H2O
H,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O,H2O
